Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
85,"Friday, Jul 8",boxscore,TOR,@,SEA,L-wo,2,5,11,45-40,4,16.5,Borucki,Romo,,4:08,N,"32,398",0.92,--,
86,"Saturday, Jul 9",boxscore,TOR,@,SEA,L,1,2,,45-41,4,16.5,Brash,Manoah,Castillo,2:42,N,"41,210",0.94,---,
87,"Sunday, Jul 10",boxscore,TOR,@,SEA,L,5,6,,45-42,4,16.5,Festa,Cimber,Sewald,2:45,D,"37,694",0.95,----,
88,"Tuesday, Jul 12",boxscore,TOR,,PHI,W,4,3,,46-42,4,15.5,Berríos,Familia,Romano,2:52,N,"32,795",0.82,+,
89,"Wednesday, Jul 13",boxscore,TOR,,PHI,W,8,2,,47-42,3,15.5,Stripling,Wheeler,,2:31,N,"30,853",0.82,++,
90,"Thursday, Jul 14",boxscore,TOR,,KCR,L,1,3,,47-43,3,15.5,Zerpa,Gausman,Barlow,3:00,N,"24,426",0.84,-,
91,"Friday, Jul 15",boxscore,TOR,,KCR,W,8,1,,48-43,3,14.5,Manoah,Greinke,,2:48,N,"26,422",0.82,+,
92,"Saturday, Jul 16",boxscore,TOR,,KCR,W-wo,6,5,10,49-43,3,14.5,Romano,Payamps,,3:29,D,"40,135",0.84,++,
93,"Sunday, Jul 17",boxscore,TOR,,KCR,W,4,2,,50-43,3,14.5,Mayza,Mills,Romano,2:21,D,"36,681",0.83,+++,
94,"Friday, Jul 22",boxscore,TOR,@,BOS,W,28,5,,51-43,3,13.5,Gausman,Eovaldi,,3:49,N,"36,796",0.99,++++,
95,"Saturday, Jul 23",boxscore,TOR,@,BOS,W,4,1,,52-43,3,12.5,Manoah,Crawford,Romano,3:09,D,"35,821",0.99,+++++,
96,"Sunday, Jul 24",boxscore,TOR,@,BOS,W,8,4,,53-43,2,12.5,Mayza,Bello,,3:33,D,"34,404",1,++++++,
97,"Tuesday, Jul 26",boxscore,TOR,,STL,W,10,3,,54-43,2,11.5,Mayza,Hicks,,3:14,N,"39,756",0.87,+++++++,
98,"Wednesday, Jul 27",boxscore,TOR,,STL,L,1,6,,54-44,2,11.5,Wainwright,Gausman,,2:57,N,"36,666",0.85,-,
99,"Thursday, Jul 28",boxscore,TOR,,DET,W,5,3,,55-44,2,11.5,Kikuchi,Alexander,Romano,2:52,N,"27,080",0.88,+,
100,"Friday, Jul 29",boxscore,TOR,,DET,L,2,4,,55-45,2,12.5,Vest,Manoah,Soto,3:20,N,"28,046",0.83,-,
101,"Saturday, Jul 30",boxscore,TOR,,DET,W,5,3,,56-45,2,12.5,Richards,Law,Romano,2:46,D,"42,933",0.89,+,
102,"Sunday, Jul 31",boxscore,TOR,,DET,W,4,1,,57-45,2,11.5,Berríos,Hill,Romano,2:19,D,"40,298",0.81,++,
103,"Tuesday, Aug 2",boxscore,TOR,@,TBR,W,3,1,,58-45,2,11,Gausman,Rasmussen,Romano,2:45,N,"16,433",0.94,+++,
104,"Wednesday, Aug 3",boxscore,TOR,@,TBR,L,2,3,,58-46,2,11,Thompson,Cimber,Adam,2:48,D,"14,253",0.91,-,
105,"Thursday, Aug 4",boxscore,TOR,@,MIN,W,9,3,,59-46,2,10.5,Manoah,Pagán,,3:34,N,"39,030",0.94,+,
106,"Friday, Aug 5",boxscore,TOR,@,MIN,L-wo,5,6,10,59-47,2,10.5,Fulmer,Romano,,3:24,N,"29,593",0.85,-,
107,"Saturday, Aug 6",boxscore,TOR,@,MIN,L,3,7,,59-48,2,10.5,Megill,White,,3:32,N,"27,471",0.94,--,
108,"Sunday, Aug 7",boxscore,TOR,@,MIN,W,3,2,10,60-48,2,9.5,Romano,Thielbar,,3:41,D,"26,155",0.97,+,
109,"Monday, Aug 8",boxscore,TOR,@,BAL,L,4,7,,60-49,2,10.5,Lyles,Kikuchi,Bautista,2:55,N,"12,671",1.1,-,
110,"Tuesday, Aug 9",boxscore,TOR,@,BAL,L,5,6,,60-50,2,10.5,Vespi,García,Bautista,3:02,N,"11,080",1.1,--,
111,"Friday, Aug 12",boxscore,TOR,,CLE,L,0,8,,60-51,2,10,Quantrill,Berríos,,2:33,N,"41,677",1.04,---,
112,"Saturday, Aug 13",boxscore,TOR,,CLE,W,2,1,,61-51,2,10,Bass,McKenzie,Romano,2:55,D,"44,977",1.11,+,
113,"Sunday, Aug 14",boxscore,TOR,,CLE,L,2,7,,61-52,2,10,Bieber,Gausman,,2:54,D,"41,002",1.09,-,
114,"Monday, Aug 15",boxscore,TOR,,BAL,L,3,7,,61-53,2,10,Baker,Kikuchi,,3:20,N,"26,769",1.25,--,
115,"Tuesday, Aug 16",boxscore,TOR,,BAL,L,2,4,,61-54,3,10,Kremer,Manoah,Bautista,2:54,N,"37,940",1.25,---,
116,"Wednesday, Aug 17",boxscore,TOR,,BAL,W,6,1,,62-54,2,10,García,Krehbiel,,2:47,D,"40,141",1.28,+,
117,"Thursday, Aug 18",boxscore,TOR,@,NYY,W,9,2,,63-54,2,9,Berríos,Montas,,3:09,N,"41,419",1.14,++,
118,"Friday, Aug 19",boxscore,TOR,@,NYY,W,4,0,,64-54,2,8,Gausman,Taillon,,2:52,N,"46,194",1.21,+++,
119,"Saturday, Aug 20",boxscore,TOR,@,NYY,W,5,2,,65-54,2,7,Cimber,Cole,García,3:11,D,"45,538",1.31,++++,
120,"Sunday, Aug 21",boxscore,TOR,@,NYY,L,2,4,,65-55,2,8,Trivino,Cimber,,2:59,D,"46,958",1.4,-,
121,"Tuesday, Aug 23",boxscore,TOR,@,BOS,W,9,3,,66-55,3,8.5,Stripling,Winckowski,,3:18,N,"30,963",1.16,+,
122,"Wednesday, Aug 24",boxscore,TOR,@,BOS,W,3,2,10,67-55,3,8,Cimber,Brasier,Romano,3:12,N,"31,840",1.15,++,
123,"Thursday, Aug 25",boxscore,TOR,@,BOS,W,6,5,10,68-55,3,8,Romano,Schreiber,,4:22,N,"30,527",1.09,+++,
124,"Friday, Aug 26",boxscore,TOR,,LAA,L,0,12,,68-56,3,9,Detmers,White,,3:20,N,"40,754",1,-,
125,"Saturday, Aug 27",boxscore,TOR,,LAA,L,0,2,,68-57,3,9,Ohtani,Manoah,Herget,3:20,D,"45,311",0.99,--,
126,"Sunday, Aug 28",boxscore,TOR,,LAA,L,3,8,,68-58,3,9,Wantz,Stripling,,3:16,D,"44,318",1.09,---,
127,"Monday, Aug 29",boxscore,TOR,,CHC,W-wo,5,4,11,69-58,3,8,García,Leiter,,3:43,N,"26,473",1.07,+,
128,"Tuesday, Aug 30",boxscore,TOR,,CHC,W,5,3,,70-58,3,8,Gausman,Little,Romano,3:03,N,"33,759",1.16,++,
129,"Wednesday, Aug 31",boxscore,TOR,,CHC,L,5,7,,70-59,3,8,Rodríguez,White,Wick,3:07,N,"28,572",1.1,-,
130,"Friday, Sep 2",boxscore,TOR,@,PIT,W,4,0,,71-59,3,7,Manoah,Beede,,3:24,N,"18,057",1.09,+,
131,"Saturday, Sep 3",boxscore,TOR,@,PIT,W,4,1,,72-59,3,6,García,Underwood,Romano,3:06,N,"23,568",1.13,++,
132,"Sunday, Sep 4",boxscore,TOR,@,PIT,W,4,3,,73-59,3,6,Stripling,Underwood,Romano,3:02,D,"14,903",1.17,+++,
